event_id,state_code,latitude,longitude,event_date,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count,admin_division_name,location_description
9619,7,27.1695,88.3664,2016-10-15 00:00:00,landslide,rain,medium,0,0,Sikkim,Namchi
9617,2,26.888,88.2796,2016-10-15 00:00:00,landslide,unknown,medium,0,0,West Bengal,Zero near Kurseong
9618,2,26.9343,88.4486,2016-10-15 00:00:00,rock_fall,downpour,small,0,0,West Bengal,Kalijhora
9620,7,27.172,88.5292,2016-10-15 00:00:00,landslide,downpour,medium,0,0,Sikkim,Rangpo
9604,7,27.2676,88.2891,2016-10-12 00:00:00,landslide,continuous_rain,medium,0,0,Sikkim,Legship
9603,2,26.8861,88.1704,2016-10-12 00:00:00,landslide,downpour,medium,0,0,West Bengal,Mirik
9587,2,26.8692,88.4695,2016-10-12 00:00:00,landslide,downpour,medium,0,0,West Bengal,between Siliguri and Sevak
9464,1,27.5754,91.9754,2016-08-05 00:00:00,landslide,downpour,medium,0,3,Arunachal Pradesh,Babrang village under Jang circle in Tawang district
9232,5,23.5397,93.3783,2016-07-28 23:00:00,landslide,continuous_rain,medium,2,6,Mizoram,"Ngur, near Mizoram-Myanmar border, India"
9251,6,25.8702,94.7844,2016-07-28 23:00:00,landslide,downpour,medium,0,0,Nagaland,"Government Middle School (GMS) Kiphire station âBâ, Kiphire, Nagaland, India"
9252,1,27.5748,91.8644,2016-07-28 00:00:00,landslide,monsoon,medium,0,0,Arunachal Pradesh,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India"
9219,6,26.0101,94.5282,2016-07-26 23:00:00,landslide,downpour,medium,0,0,Nagaland,"Zunheboto, Nagaland, India"
9220,7,27.1027,88.1218,2016-07-26 23:00:00,landslide,downpour,unknown,0,0,West Bengal,"Finchaytaar, Lodhoma, Darjeeling, India"
9186,3,25.48,94.1383,2016-07-25 12:30:00,landslide,continuous_rain,medium,0,1,Manipur,"Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India"
9138,2,26.9015,88.4719,2016-07-21 09:00:00,landslide,rain,medium,0,0,West Bengal,"NH 10 between Coronation Bridge and Sevoke Kalibari, West Bengal, India"
9122,2,26.1966,91.802,2016-07-20 00:00:00,landslide,rain,medium,0,0,Assam,"Noonmati, Guwahati, Assam, India"
9074,7,27.1176,88.1069,2016-07-20 00:00:00,landslide,downpour,large,3,0,West Bengal,"Rimbik, Darjeeling, West Bengal state, India"
9051,4,26.09748244,91.8744337,2016-07-19 09:00:00,landslide,unknown,medium,0,1,Meghalaya,"12th Mile area at Jorabat, Meghalaya, India"
9124,4,25.203,90.5573,2016-07-19 00:00:00,translational_slide,continuous_rain,large,0,0,Meghalaya,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India"
9087,1,28.235,94.9612,2016-07-19 00:00:00,landslide,downpour,medium,0,0,Arunachal Pradesh,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India"
9010,1,27.3034,93.804,2016-07-16 00:00:00,mudslide,downpour,medium,1,0,Arunachal Pradesh,"Hoj-Potin Highway, Arunachal Pradesh, India"
8995,2,26.1963,91.8074,2016-07-14 00:00:00,landslide,monsoon,small,1,0,Assam,"Noonmati Nijarapar area of the city, Guwahati, Assam, India"
8996,2,26.1768,91.7702,2016-07-14 00:00:00,landslide,monsoon,small,1,0,Assam,"Pub Sarania hill, South Sarania, Guwahati, Assam, India"
8930,6,26.1699,94.4922,2016-07-11 23:00:00,landslide,unknown,large,0,0,Nagaland,"North Point Colony, Akuluto, Nagaland, India"
8901,6,25.7902,94.1318,2016-07-10 00:00:00,landslide,downpour,medium,0,0,Nagaland,"National Highway 2, near Kohima, Nagaland, India"
8684,2,25.9611,91.3681,2016-07-07 00:00:00,landslide,continuous_rain,medium,2,2,Assam,"Kamrup district, Assam, India"
8900,3,25.0118,94.3136,2016-07-07 00:00:00,landslide,monsoon,large,0,0,Manipur,"Imphal-Ukhrul sector of National Highway 102, Manipur, India"
8237,1,27.0136,92.6351,2016-07-01 00:00:00,landslide,downpour,large,5,3,Arunachal Pradesh,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India"
8222,2,26.1961,91.7825,2016-06-22 12:00:00,mudslide,downpour,medium,1,0,Assam,"Piyali Phukan Nagar, Guwahati, India"
9142,6,26.3185,94.5247,2016-06-14 08:00:00,landslide,continuous_rain,medium,0,0,Nagaland,"lower Majakong Ward, Mokokchung, Nagaland, India"
