sample_id,grid_id,date,year,month,state_code,district_code,latitude,longitude,elevation_m,slope_deg,aspect_deg,terrain_ruggedness,relief_m,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainfall_90d_mm,temperature_mean_c,temperature_max_c,temperature_min_c,temperature_range_c,humidity_pct,ndvi,evi,ndwi,nbr,vegetation_fraction,soil_ph,soil_organic_carbon,soil_clay_pct,soil_sand_pct,soil_silt_pct,soil_bulk_density,soil_water_capacity,landcover_code,distance_to_river_m,distance_to_water_m,water_occurrence_pct,drainage_density,forest_cover_pct,protected_area_flag,distance_to_protected_area_m,flood_history_flag,landslide_history_flag,nearest_landslide_distance_km,distance_to_road_m,road_proximity_flag,road_cut_slope_hazard,target_flood_risk,target_landslide_risk,data_quality_score,depth_to_slip_plane_m,pore_water_pressure_kpa,effective_cohesion_kpa,friction_angle_deg,pore_pressure_ratio_ru,factor_of_safety_fs,subsurface_creep_um_hr
NER-G250M-1507_11968_20260908,NER-G250M-1507_11968,2026-09-08,2026,9,1,107,27.045086,91.759355,2728.0,28.91,130.1,50.46,250.5,12.4,24.1,81.6,334.6,1204.6,10.9,15.7,7.7,8.0,91.0,0.7682,0.6157,-0.684,0.6108,0.8059,4.93,34.8,39.3,25.1,35.6,128.5,0.18,1,85000.0,72250.0,0.0,2.8,79.3,0,87312.2,0,0,59.73,60397.6,0,0,0,1,1.0,6.0,7.06,23.97,23.44,0.0535,1.159,3.7
NER-G250M-1507_12084_20260908,NER-G250M-1507_12084,2026-09-08,2026,9,1,101,27.306773,91.756458,3379.0,35.32,134.0,60.71,300.5,16.5,35.9,97.0,445.6,1395.0,11.3,16.2,8.1,8.1,91.0,0.875,0.6399,-0.79,0.7007,1.0,4.76,31.0,37.6,26.3,36.1,128.6,0.17,1,77385.9,65778.0,0.0,2.8,79.3,0,101603.2,0,0,31.65,32383.9,0,0,0,1,1.0,6.0,7.06,22.81,23.86,0.0535,0.94,6.59
NER-G250M-1507_12200_20260908,NER-G250M-1507_12200,2026-09-08,2026,9,1,111,27.568449,91.753521,3211.0,28.89,140.9,50.42,250.3,5.4,10.3,28.3,131.2,582.3,10.5,14.8,5.7,9.1,88.0,0.8517,0.7105,-0.7692,0.6775,1.0,4.65,30.2,36.5,27.0,36.5,128.6,0.16,1,75033.6,63778.6,0.0,2.8,79.3,0,121283.9,0,0,10.4,11718.3,0,0,0,2,1.0,6.0,7.06,22.3,24.13,0.0535,1.155,3.74
NER-G250M-1507_12316_20260908,NER-G250M-1507_12316,2026-09-08,2026,9,1,105,27.830115,91.750544,3005.0,35.33,151.7,60.73,300.6,9.0,19.2,57.1,269.3,1030.7,12.7,17.5,9.1,8.4,91.0,0.6571,0.453,-0.5676,0.4032,0.576,5.06,37.2,21.6,48.3,30.1,117.7,0.15,1,83423.8,70910.2,0.0,2.8,79.3,0,144163.0,0,0,29.74,30223.6,0,0,0,1,1.0,6.0,7.06,18.14,28.94,0.0535,1.009,5.48
NER-G250M-1717_11968_20260908,NER-G250M-1717_11968,2026-09-08,2026,9,1,112,27.048757,92.288522,2238.0,29.2,111.9,50.92,252.8,5.2,22.5,85.9,400.6,1415.1,16.6,19.5,14.4,5.1,95.0,0.8142,0.5556,-0.7247,0.6476,0.9125,4.72,34.8,37.2,26.5,36.3,121.0,0.16,1,54369.4,46214.0,0.0,2.8,79.3,0,115006.4,0,0,34.88,25920.1,0,0,0,1,1.0,6.0,7.06,23.24,23.95,0.0535,1.152,3.76
NER-G250M-1717_12084_20260908,NER-G250M-1717_12084,2026-09-08,2026,9,1,106,27.310485,92.28686,2682.0,35.16,114.8,60.46,299.2,3.3,29.5,66.2,348.1,1166.2,15.4,19.9,11.8,8.1,88.0,0.8421,0.7291,-0.7636,0.6728,0.9804,4.66,31.0,36.6,27.0,36.4,121.0,0.16,1,29946.7,25454.7,0.0,2.8,79.3,0,129141.7,0,0,11.77,14911.0,0,0,0,2,1.0,6.0,7.06,22.46,24.11,0.0535,0.946,6.48
NER-G250M-1717_12200_20260908,NER-G250M-1717_12200,2026-09-08,2026,9,1,101,27.572202,92.285175,2909.0,29.19,120.6,50.9,252.7,3.3,10.5,31.0,185.7,667.2,10.9,14.9,7.6,7.3,86.0,0.8439,0.7226,-0.7642,0.6723,0.9849,4.8,30.2,38.0,26.0,36.0,121.0,0.17,1,22928.8,19489.5,0.0,2.8,79.3,0,147705.8,0,0,14.68,38221.4,0,0,0,2,1.0,6.0,7.06,22.83,23.76,0.0535,1.139,3.89
NER-G250M-1717_12316_20260908,NER-G250M-1717_12316,2026-09-08,2026,9,1,111,27.83391,92.283468,5277.0,35.17,132.0,60.47,299.3,2.0,6.5,16.0,135.5,437.4,1.6,6.7,-2.4,9.1,83.0,0.6415,0.4937,-0.5503,0.3986,0.5466,5.25,37.2,23.5,47.0,29.5,110.0,0.16,1,42925.5,36486.7,0.0,2.8,79.3,0,169247.0,0,0,42.1,50038.9,0,0,0,1,1.0,6.0,7.06,18.8,28.47,0.0535,1.01,5.46
NER-G250M-1717_12432_20260908,NER-G250M-1717_12432,2026-09-08,2026,9,1,105,28.095608,92.281737,5163.0,29.17,155.2,50.87,252.5,3.0,8.9,21.2,123.0,360.4,4.6,10.4,0.4,10.0,77.0,0.6223,0.5443,-0.5297,0.39,0.5117,5.17,41.0,22.7,47.5,29.8,110.0,0.15,1,69622.2,59178.9,0.0,2.8,79.3,0,192769.5,0,0,65.37,70504.1,0,0,0,1,1.0,6.0,7.06,19.09,28.66,0.0535,1.25,2.93
NER-G250M-1927_11968_20260908,NER-G250M-1927_11968,2026-09-08,2026,9,1,102,27.050438,92.817763,209.0,29.33,81.5,51.13,253.8,2.2,9.8,22.0,303.0,959.2,27.5,31.6,24.0,7.6,83.0,0.7559,0.6374,-0.6701,0.6016,0.7786,4.68,34.7,36.8,26.8,36.4,128.7,0.16,1,50030.2,42525.7,0.0,2.8,79.3,0,69342.9,0,0,18.72,45528.4,0,0,0,2,1.0,6.0,7.06,23.09,24.06,0.0535,1.148,3.8
NER-G250M-1927_12084_20260908,NER-G250M-1927_12084,2026-09-08,2026,9,1,112,27.312184,92.817337,694.0,35.09,80.3,60.34,298.7,5.4,22.6,42.1,230.8,1206.8,25.6,29.2,23.5,5.7,90.0,0.8398,0.7468,-0.7575,0.6673,0.9748,4.85,31.0,38.5,25.7,35.8,128.7,0.17,1,37969.1,32273.7,0.0,2.8,79.3,0,90773.9,0,0,9.85,40328.8,0,0,0,2,1.0,6.0,7.06,23.12,23.64,0.0535,0.946,6.48
NER-G250M-1927_12200_20260908,NER-G250M-1927_12200,2026-09-08,2026,9,1,106,27.573921,92.816905,1773.0,29.32,77.8,51.11,253.7,26.0,39.3,151.4,459.9,2040.7,19.9,26.2,17.8,8.4,91.0,0.8477,0.7236,-0.7642,0.6754,0.9943,4.95,30.2,39.5,25.0,35.5,128.7,0.18,1,32735.5,27825.2,0.0,2.8,79.3,0,115583.2,0,0,14.1,53554.8,0,0,0,2,1.0,6.0,7.06,23.35,23.39,0.0535,1.13,3.99
NER-G250M-1927_12316_20260908,NER-G250M-1927_12316,2026-09-08,2026,9,1,116,27.835648,92.816468,3103.0,35.09,71.9,60.34,298.7,27.1,118.4,173.8,528.3,2236.2,10.3,13.1,8.9,4.2,97.0,0.6289,0.5211,-0.5377,0.3921,0.5236,5.13,37.3,22.3,47.8,29.9,117.6,0.15,1,48883.5,41551.0,0.0,2.8,79.3,0,142010.4,0,0,15.15,76143.1,0,0,0,2,1.0,6.0,7.06,18.4,28.77,0.0535,1.015,5.39
NER-G250M-1927_12432_20260908,NER-G250M-1927_12432,2026-09-08,2026,9,1,110,28.097365,92.816024,4240.0,29.31,51.8,51.1,253.6,27.9,93.7,147.6,434.9,1668.2,6.7,8.4,5.5,2.9,97.0,0.6761,0.4242,-0.5867,0.4125,0.6124,4.97,41.0,20.7,48.9,30.4,117.6,0.14,1,73453.4,62435.4,0.0,2.8,79.3,0,169299.0,0,0,33.42,102054.7,0,0,0,1,1.0,6.0,7.06,18.39,29.16,0.0535,1.25,2.93
NER-G250M-1927_12547_20260908,NER-G250M-1927_12547,2026-09-08,2026,9,1,105,28.359072,92.815575,4933.0,35.1,328.5,60.36,298.8,6.5,22.8,44.4,190.9,549.3,3.0,7.1,1.0,6.1,90.0,0.6603,0.451,-0.5697,0.4076,0.5819,5.0,41.8,21.0,48.7,30.3,117.6,0.14,1,85000.0,72250.0,0.0,2.8,79.3,0,197091.0,0,0,57.8,128138.2,0,0,0,1,1.0,6.0,7.06,18.62,29.09,0.0535,1.028,5.21
NER-G250M-2137_11968_20260908,NER-G250M-2137_11968,2026-09-08,2026,9,1,107,27.050128,93.347022,367.0,29.31,56.6,51.1,253.6,2.3,13.0,31.7,178.0,802.2,27.0,30.3,24.0,6.3,85.0,0.7593,0.6289,-0.675,0.6048,0.7861,4.88,34.7,38.8,25.4,35.8,128.2,0.18,1,74086.1,62973.2,0.0,2.8,79.3,0,44415.2,0,0,26.47,27853.5,0,0,0,1,1.0,6.0,7.06,23.78,23.56,0.0535,1.144,3.84
